DATA_POINT,WHAT_IS_IT,FRIENDS,FRIENDS_OF_FRIENDS,APP_DEVELOPERS,ADVERTISERS
About Me,"Information you added to the About section of your timeline like relationships, work, education, where you live and more. It includes any updates or changes you made in the past and what is currently in the About section of your timeline.",LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,,COMMENT,
Account Status History,"The dates when your account was reactivated, deactivated, disabled or deleted.",LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,SHARE|LOCATION,COMMENT,
Active Sessions,"All stored active sessions, including date, time, device, IP address, machine cookie and browser information.",,SHARE|LOCATION,COMMENT,
Ads Clicked,"Dates, times and titles of ads clicked (limited retention period).",LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,,COMMENT,SHARE
Address,Your current address or any past addresses you had on your account.,,,COMMENT,SHARE
Ad Topics,"A list of topics that you may be targeted against based on your stated likes, interests and other data you put in your timeline.",LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,SHARE|LOCATION,COMMENT,SHARE
Alternate Name,Any alternate names you have on your account (ex: a maiden name or a nickname).,,SHARE|LOCATION,COMMENT,SHARE
Apps,All of the apps you have added.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,SHARE|LOCATION,COMMENT,SHARE
Birthday Visibility,How your birthday appears on your timeline.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,,COMMENT,SHARE
Chat,A history of the conversations youªve had on Facebook Chat (a complete history is available directly from your messages inbox).,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,,COMMENT,
Check-ins,The places youªve checked into.,,SHARE|LOCATION,,
Currency,"Your preferred currency on Facebook. If you use Facebook Payments, this will be used to display prices and charge your credit cards.",LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,SHARE|LOCATION,,
Current City,The city you added to the About section of your timeline.,,SHARE|LOCATION,,LIKE|SHARE|TAG
Date of Birth,The date you added to Birthday in the About section of your timeline.,,SHARE|LOCATION,,LIKE|SHARE|TAG
Education,Any information you added to Education field in the About section of your timeline.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,SHARE|LOCATION,,LIKE|SHARE|TAG
Emails,Email addresses added to your account (even those you may have removed).,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,,,LIKE|SHARE|TAG
Events,Events youªve joined or been invited to.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,UPDATESTATUS,,LIKE|SHARE|TAG
Facial Recognition Data,A unique number based on a comparison of the photos you're tagged in. We use this data to help others tag you in photos.,,UPDATESTATUS,,LIKE|SHARE|TAG
Family,Friends youªve indicated are family members.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,UPDATESTATUS,,LIKE|SHARE|TAG
Favorite Quotes,Information youªve added to the Favorite Quotes section of the About section of your timeline.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,UPDATESTATUS,,LIKE|SHARE|TAG
Followers,A list of people who follow you.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,UPDATESTATUS,LIKE,LIKE|SHARE|TAG
Friend Requests,Pending sent and received friend requests.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,UPDATESTATUS,LIKE,LIKE|SHARE|TAG
Friends,A list of your friends.,,UPDATESTATUS,LIKE,LIKE|SHARE|TAG
Gender,The gender you added to the About section of your timeline.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,UPDATESTATUS,LIKE,LIKE|SHARE|TAG
Groups,A list of groups you belong to on Facebook.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,,LIKE,LIKE|SHARE|TAG
Hidden from News Feed,"Any friends, apps or pages youªve hidden from your News Feed.",LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,UPDATESTATUS,LIKE,LIKE|SHARE|TAG
Hometown,The place you added to hometown in the About section of your timeline.,,UPDATESTATUS,LIKE,LIKE|SHARE|TAG
IP Addresses,A list of IP addresses where youªve logged into your Facebook account (wonªt include all historical IP addresses as they are deleted according to a retention schedule).,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,UPDATESTATUS,LIKE,LIKE|SHARE|TAG
Locale,The language you've selected to use Facebook in.,LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,,LIKE,LIKE|SHARE|TAG
Logins,"IP address, date and time associated with logins to your Facebook account.",LIKE|COMMENT|SHARE|TAG|UPDATESTATUS|LOCATION,UPDATESTATUS,LIKE,
Logouts,"IP address, date and time associated with logouts from your Facebook account.",LIKE,,,LIKE|SHARE|TAG
Messages,"Messages youªve sent and received on Facebook. Note, if you've deleted a message it won't be included in your download as it has been deleted from your account.",,,,LIKE|SHARE|TAG
Name,The name on your Facebook account.,,LIKE,,LIKE|SHARE|TAG
Name Changes,Any changes youªve made to the original name you used when you signed up for Facebook.,TAG,,,LIKE|SHARE|TAG
Networks,Networks (affiliations with schools or workplaces) that you belong to on Facebook.,TAG,,,LIKE|SHARE|TAG
Pages You Admin,A list of pages you admin.,TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Pending Friend Requests,Pending sent and received friend requests.,TAG,SHARE,COMMENT|TAG,
Phone Numbers,"Mobile phone numbers youªve added to your account, including verified mobile numbers you've added for security purposes.",TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Photos,Photos youªve uploaded to your account.,TAG,SHARE,,LIKE|SHARE|TAG
Photos Metadata,Any metadata that is transmitted with your uploaded photos.,TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Physical Tokens,Badges youªve added to your account.,TAG,SHARE,COMMENT|TAG,
Pokes,A list of whoªs poked you and who youªve poked. Poke content from our mobile poke app is not included because it's only available for a brief period of time. After the recipient has viewed the content it's permanently deleted from our systems.,TAG,,COMMENT|TAG,LIKE|SHARE|TAG
Political Views,Any information you added to Political Views in the About section of timeline.,TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Posts by Others,"Anything posted to your timeline by someone else, like wall posts or links shared on your timeline by friends.",TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Recent Activities,Actions youªve taken and interactions youªve recently had.,TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Registration Date,The date you joined Facebook.,TAG,SHARE,COMMENT|TAG,
Religious Views,The current information you added to Religious Views in the About section of your timeline.,TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Removed Friends,People youªve removed as friends.,TAG,SHARE,,LIKE|SHARE|TAG
Screen Names,"The screen names youªve added to your account, and the service theyªre associated with. You can also see if theyªre hidden or visible on your account.",TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Spoken Languages,The languages you added to Spoken Languages in the Aboutsection of your timeline.,TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Status Updates,Any status updates youªve posted.,TAG,,COMMENT|TAG,
Work,Any current information youªve added to Work in the About section of your timeline.,TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
Videos,Videos you‰ªve posted to your timeline.,TAG,SHARE,COMMENT|TAG,LIKE|SHARE|TAG
